name,description,type,address,google_maps_url,area,sub_area,lat,lng,website,instagram,phone,email,openingHours
Lagos Gallery Weekend,"A citywide, multi-day festival and public engagement initiative spotlighting the diversity of Lagos' art galleries and cultural institutions, uniting galleries, artists, collectors, and enthusiasts under a yearly theme.",Nomadic Spaces,,,,,,,https://lagosgalleryweekend.com/,@lagosgalleryweekend,,,
Polygon,"A bookable creative and event venue in Victoria Island (SpacesPolygon / BR Spaces), positioned as a flexible multipurpose space for exhibitions, events, and creative projects.",Art Hubs/Institutions,"SpacesPolygon and BR Spaces, 5 Oju Olobun Cl, Victoria Island, Lagos 106104",https://www.google.com/maps/search/?api=1&query=Polygon%2C%20SpacesPolygon%20and%20BR%20Spaces%2C%205%20Oju%20Olobun%20Cl%2C%20Victoria%20Island%2C%20Lagos%20106104,ISLAND,Victoria Island,6.4289589,3.4151061,https://www.thepolygon.space/,@polygon.hq,+2349166821000,visit@thepolygon.space,By appointment only
Vortex Central,"A multifunctional creative hub in Lekki combining a co-working space for digital artists, a comic-book shop, a geek bar/diner, an event garden, an animation studio, and a sound recording studio.",Art Hubs/Institutions,"2 Adedeji Adekola St, Lekki Phase I, Lagos 106104",https://www.google.com/maps/search/?api=1&query=vortex%20central%2C%202%20Adedeji%20Adekola%20St%2C%20Lekki%20Phase%20I%2C%20Lagos%20106104,ISLAND,Lekki,6.4390189,3.4806886,,@vortexcentral,+2347067253788,operations@vortexcorp.net,
Kalakuta Museum,"Fela Anikulapo Kuti's former residence in Ikeja, transformed into a boutique museum and heritage destination blending Fela's Afrobeat legacy with a boutique hotel, souvenir shop, bar, kitchen, and event space.",Museums,"7 Gbemisola St, Allen, Ikeja 100281",https://www.google.com/maps/search/?api=1&query=Kalakuta%20Museum%2C%207%20Gbemisola%20St%2C%20Allen%2C%20Ikeja%20100281,MAINLAND,Mainland,6.6029648,3.3485867,https://www.kalakutamuseum.com/,@kalakutamuseum,+2347012387667,favour@kalakutamuseums.com,
 Akóko,"Billed as the first design gallery in Lagos - a multidisciplinary space combining art, fashion, design, and experience, including recurring events such as its 'Sunday Rice' brunch.",Art Galleries,"5 Modupe Alakija Crescent, Lagos Island, Lagos 106104",https://www.google.com/maps/search/?api=1&query=Akoko%20Lagos%2C%205%20Modupe%20Alakija%20Crescent%2C%20Lagos%20Island%2C%20Lagos%20106104,ISLAND,Ikoyi,6.4622034,3.4307031,,@akokolagos,,,
Clay of Lagos,"A handmade ceramics and pottery studio offering wheel-thrown, hand-finished pieces, pottery workshops, and pottery supplies for makers of all levels.",Art Hubs/Institutions,"285 Akin Olugbade St, Victoria Island, Lagos 101241",https://www.google.com/maps/search/?api=1&query=Clay%20of%20Lagos%2C%20285%20Akin%20Olugbade%20St%2C%20Victoria%20Island%2C%20Lagos%20101241,ISLAND,Victoria Island,6.4310262,3.4219865,https://clayoflagos.com/,@clay_of_lagos,,admin@clayoflagos.com,
Vintage Africana,"A nostalgic vintage museum, restaurant, and photo-booth content-creation hub recreating Nigerian lifestyle and décor from the 1960s-1990s, with era-accurate furniture, a mini gallery of portraits of famous Africans, and Nigerian cuisine.",Museums,"6 William Elliot St, Oko-oba, Ifako-Ijaiye, Lagos 101232",https://www.google.com/maps/search/?api=1&query=Vintage%20Africana%2C%206%20William%20Elliot%20St%2C%20Oko-oba%2C%20Ifako-Ijaiye%2C%20Lagos%20101232,MAINLAND,Mainland,6.6592237,3.3111474,,@vintageafricanalagos,+2348084607123,,Daily 11am-8pm (reservation required)
ALALI,"A boutique creative studio in Victoria Island offering guided, artist-led experiences including painting, pottery, candle-making, wine tasting, and cocktail classes, plus private celebrations and team-bonding packages.",Art Hubs/Institutions,"32 Musa Yar'Adua Street, Victoria Island, Lagos",https://www.google.com/maps/search/?api=1&query=alali.studio%2C%2032%20Musa%20Yar%27Adua%20Street%2C%20Victoria%20Island%2C%20Lagos,ISLAND,Victoria Island,6.4315633,3.4190009,https://alali.ng/,@alali.studio,+2349040000081,studio@alali.ng,Daily 8am-10pm
The Benin Art Gallery,"A contemporary gallery space dedicated to modern and contemporary African art, positioned as a community for learning, dialogue, and collaboration that supports emerging artists.",Art Galleries,"12 Jay Jay Oladimeji St, Lekki Phase I, Lagos 106104",https://www.google.com/maps/search/?api=1&query=thebeninartgallery%2C%2012%20Jay%20Jay%20Oladimeji%20St%2C%20Lekki%20Phase%20I%2C%20Lagos%20106104,ISLAND,Lekki,6.4346533,3.4801895,,@thebeninartgallery,,,
Abela Centre For Olfactory Art,"The first olfactory art centre of its kind in Sub-Saharan Africa - an immersive space dedicated to scent, offering perfume-creation workshops, an olfaction library of 1,000+ ingredients, and exhibitions celebrating African culture through scent.",Art Hubs/Institutions,"385 Herbert Macaulay Way, Yaba, Lagos 101245",https://www.google.com/maps/search/?api=1&query=Abela%20Centre%20For%20Olfactory%20Art%2C%20385%20Herbert%20Macaulay%20Way%2C%20Yaba%2C%20Lagos%20101245,MAINLAND,Mainland,6.5155106,3.3755839,https://abelacentre.org/,@abela_olfactoryartcentre,+2348095857777,info@abelacentre.org,Mon-Fri 9am-6pm; Sat 10am-5pm; Sun closed
NK ART SPACE,"A contemporary art gallery and exhibition space promoting visual art exhibitions and functioning as an arts shop for collectors, professionals, and enthusiasts alike.",Art Galleries,"4 Omoseinde Agbaje Ave, John Okafor St, Agungi, Lekki 101245, Lagos",https://www.google.com/maps/search/?api=1&query=NK%20ART%20SPACE%2C%204%20Omoseinde%20Agbaje%20Ave%2C%20John%20Okafor%20St%2C%20Agungi%2C%20Lekki%20101245%2C%20Lagos,ISLAND,Lekki,6.4514679,3.5221848,https://nkartspace.com/,@nkartspace,+2347077516836,info@nkartspace.com,
Studio Dadas,"An art studio/collective operating out of the Universal Studios of Art at the National Theatre complex in Iganmu, associated with sculptors and visual artists working within the National Theatre's art precinct.",Art Hubs/Institutions,"Universal Studios of Art, National Theatre, Iganmu Rd, Ijora Olopa, Lagos 101245",https://www.google.com/maps/search/?api=1&query=studioDADAS%2C%20Universal%20Studios%20of%20Art%2C%20National%20Theatre%2C%20Iganmu%20Rd%2C%20Ijora%20Olopa%2C%20Lagos%20101245,MAINLAND,Mainland,6.4761557,3.3669717,,https://www.facebook.com/studiodadas/,,,
MUSON Centre (Musical Society of Nigeria),,Art Hubs/Institutions,"8/9 Marina, Onikan, Lagos Lagos, CCV2+9H3 Race Course, 4aa Force Rd, Lagos Island, Lagos 102273, Lagos, Nigeria",https://www.google.com/maps/search/?api=1&query=The%20MUSON%20Centre%20%28Musical%20Society%20of%20Nigeria%29%2C%20Lagos,ISLAND,Lagos Island,6.443382,3.4014346,https://muson.org/,@musonng,,,
